What,Where,When,How_Much

De SkÃ¸nneste Kor.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 7 April 2018, 3 pm  & 5 pm.", 

"Riel/pasborg ""universe"" Feat. Annisette, Jobarteh M.fl.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sat 7 April 2018, 8 pm.",(Entrance fee: 295 DKK)

Persefone (AD).,"VEGA, Enghavevej 40, Copenhagen V","Sat 7 April 2018, 9 pm.","(Entrance fee: 175,00 DKK)"

The van.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 7 April 2018, 9 pm.","(Entrance fee: 160,00 DKK)"

Miss Sway.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sun 8 April 2018, 12 am.", 

Jazz Menu - ForÃ¥r 2018.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sun 8 April 2018, 1 pm.",(Entrance fee: 110 DKK)

SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre","Sun 8 April 2018, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)

Din Danske Sang.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 8 April 2018, 3 pm.", 

Nulle og Verdesnorkestret.,"SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K","Sun 8 April 2018, 3 pm.","(Entrance fee: 100,-/70,-)"


Violin- og orgelkoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 8 April 2018, 4 pm  - 5 pm.", 

Klaverduo Kolarova-Gryesten.,"Store Magleby Kirke, Kirkevej 2, DragÃ¸r","Sun 8 April 2018, 4 pm  - 5.30 pm.", 

PalÃ¦ Bar Jazz.,"PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K","Sun 8 April 2018, 5 pm  - 8 pm.",(Free admission)

Slick Rick.,"VEGA, Enghavevej 40, Copenhagen V","Mon 9 April 2018, 8 pm.",(Entrance fee: 425 DKK)

The Simon &amp; Garfunkel Story.,"MusikTeatret Albertslund, Bibliotekstorvet 1-3, Albertslund","Wed 11 April 2018, 7.30 pm.","(Entrance fee: 365,00 DKK)"

Ivan Pedersen &amp; Trio.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Wed 11 April 2018, 8 pm.",(Entrance fee: 225 DKK)

Anne-marie.,"VEGA, Enghavevej 40, Copenhagen V","Wed 11 April 2018, 8 pm.","(Entrance fee: 220,00 DKK)"

Chris Minh Doky.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Wed 11 April 2018, 8 pm.",(Entrance fee: 185 DKK + evt. gebyr)

Peter Broderick (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Wed 11 April 2018, 8 pm.","(Entrance fee: 165,00 DKK)"

Julie Berthelsen - Fra radioen til Beghusets skrÃ¥ brÃ¦dder.,"Restaurant Beghuset, Strandgade 14, DragÃ¸r","Thur 12 April 2018, 6 pm.","(Entrance fee: DKK 418,- inklusiv tapas)"

Charlotte Fich: TÃ¦t pÃ¥ musikken.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Thur 12 April 2018, 7.30 pm.",(Entrance fee: 125 DKK)

Den nye sangskat.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg","Thur 12 April 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)

Hanne Boel.,"Galaksen, Bymidten 48, VÃ¦rlÃ¸se","Thur 12 April 2018, 8 pm.",(Entrance fee: 270 DKK)

Saveus.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Thur 12 April 2018, 8 pm.",(Entrance fee)

Benal (dk) - FÃ¥ Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Thur 12 April 2018, 8 pm.","(Entrance fee: 225,00 DKK)"

Uffe Steen Trio og Vestbo Trio.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Thur 12 April 2018, 8.30 pm  - 11 pm.",(Entrance fee: 120kr. + gebyr i forsalg - 130kr. i dÃ¸ren)

Courtney Marie Andrews (US).,"VEGA, Enghavevej 40, Copenhagen V","Thur 12 April 2018, 9 pm.","(Entrance fee: 160,00 DKK)"

Macelaru &amp; Joshua Bell.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 13 April 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

Ramslag Folkets Hus Spillefolk.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Fri 13 April 2018, 8 pm.",(Entrance fee: Kr 30)

Maria Montell.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Fri 13 April 2018, 8 pm.",(Entrance fee: 195 DKK)


Copenhagen Latin Festival 2017.,"BlÃ¥gÃ¥rden, StÃ¸beriet, BlÃ¥gÃ¥rds Plads 5, Copenhagen N","Sat 25 November 2017, 8 pm  - 2.30 am.",(Entrance fee: 100 DKK)

Rust Live.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 25 November 2017, 8.30 pm.", 

Heidra + GenfÃ¦rd + Cruelty's Heart.,"Beta, Ã˜resundsvej 6, Copenhagen S","Sat 25 November 2017, 8.30 pm.","(Entrance fee: 95,00 DKK)"

Late Night Venture + The Foreign Resort + A Horrible Death To A Horrible Man.,"Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se","Sat 25 November 2017, 8.30 pm.",(Entrance fee: 70 DKK. inkl. gebyr)

Get Your Gun pÃ¥ Loppen.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Sat 25 November 2017, 9 pm.",(Entrance fee: 95 DKK)

Jon NÃ¸rgaard.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Sat 25 November 2017, 9 pm.","(Entrance fee: 200,00 DKK)"

Milky Chance.,"VEGA, Enghavevej 40, Copenhagen V","Sat 25 November 2017, 9 pm.",(Entrance fee: 230 DKK)

Marvelous Mosell.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Sat 25 November 2017, 9 pm.",(Entrance fee: 190 DKK)

Moddi (NO).,"Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N","Sat 25 November 2017, 9 pm.",(Entrance fee: 100 DKK)

"""Noche Cubana"" i RÃ¥huset m/DJ Rene.","Onkel Dannys Plads, Onkel Dannys Plads 1-9, Copenhagen V","Sat 25 November 2017, 9 pm.",(Entrance fee: 50 DKK.)

Temple Of Doom PrÃ¦senterer: The Good the Bad and the Zugly+Nightfever.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 25 November 2017, 9 pm.","(Entrance fee: 100,00 DKK)"

Hold KÃ¦ft Og Rap #3.,"ForbrÃ¦ndingen, Vognporten 11, Albertslund","Sat 25 November 2017, 9 pm.",(Entrance fee: 99 DKK + evt. gebyr)

Single Rocks store Julefest med band efter 21:00.,"CafÃ© Ae, Frederikssundsvej 7, Copenhagen NV","Sat 25 November 2017, 9 pm.",(Entrance fee: EntrÃ© efter kl. 21:00 100 DKK)

Whole Lotta Hank - Hank Williams Evergreens.,"Bartof Cafe, Nordre Fasanvej 46, Frederiksberg","Sat 25 November 2017, 9 pm.",(Entrance fee)

Trouble Cats.,"Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K","Sat 25 November 2017, 10 pm.",(Entrance fee: 80)

Bobby Bovell &amp; the public secret.,"Operaen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Sat 25 November 2017, 10 pm  - 4 am.",(Entrance fee: 60 DKK.)

Wavy.,"Rust, Guldbergsgade 8, Copenhagen N","Sat 25 November 2017, 11 pm.", 

1/2 12 Koncerter.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sun 26 November 2017, 11.30 am.",(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK)

"SÃ¸ndagsjazz pÃ¥ B9 Vinbar med Morten HÃ¸jring, Jacob Roland, Ludvig Puggaard-MÃ¼ller og andre.","B9 Vinbar, Ã…boulevard 12, Copenhagen N","Sun 26 November 2017, 2 pm.",(Free admission)

Koncert i SolgÃ¥rdens CafÃ©.,"SolgÃ¥rden plejehjem, Virumvej 125, Virum","Sun 26 November 2017, 2.30 pm.",(Free admission)


Alberte Winding og band.,"Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se","Fri 13 April 2018, 8.30 pm.",(Entrance fee: 180 DKK inkl. gebyr)

Sunflower Bean.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Fri 13 April 2018, 9 pm.",(Entrance fee: 80 DKK)

Freddy And The Phantoms.,"Beta, Ã˜resundsvej 6, Copenhagen S","Fri 13 April 2018, 9 pm.","(Entrance fee: 95,00 DKK)"

Yasmin & Jakob Dinesen.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 14 April 2018, 12.30 am.","(Entrance fee: 490,00 DKK)"

Macelaru &amp; Joshua Bell.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 14 April 2018, 3 pm.",(Entrance fee: 85 - 497 DKK)

Satie med venner 2018 - ForÃ¥rskoncert.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sat 14 April 2018, 3.00 pm.",(Entrance fee: 100 DKK.)

Erann DD.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Sat 14 April 2018, 7 pm.","(Entrance fee: 620,00 dkk - 820,00 dkk)"

Opvisning og fÃ¦llesdans.,"Herlev Gamle Skole, Herlev Bygade 92 B, Herlev","Sat 14 April 2018, 7 pm  - 11 pm.",(Entrance fee: 0 DKK. 35 DKK. 70 DKK.)

Bisse (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 14 April 2018, 8 pm.","(Entrance fee: 225,00 DKK)"

Billy Boy In Poison + LivlÃ¸s.,"Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se","Sat 14 April 2018, 8.30 pm.",(Entrance fee: 70 DKK. inkl. gebyr)

Best of Bowie.,"Hvidovre Medborgerhus, Hvidovrevej 280, Hvidovre","Sat 14 April 2018, 9 pm.",(Entrance fee: 150 DKK. inkl. gebyr)

Hush.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sat 14 April 2018, 9 pm.","(Entrance fee: 220,00 DKK)"

"Arild Kvartetten spiller Beethoven, LvB#3.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sun 15 April 2018, 12 am.",(Entrance fee: 200 DKK)

Jazz Menu - ForÃ¥r 2018.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sun 15 April 2018, 1 pm.",(Entrance fee: 110 DKK)

Wardruna.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 15 April 2018, 8 pm.",(Entrance fee: 345 - 390 DKK)

Marlon Williams (NZ).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sun 15 April 2018, 8 pm.","(Entrance fee: 105,00 DKK)"

Pianist Gilbert de Greeve.,"Taastrup Musikforening, Taastrup Kulturcenter, Poppel AllÃ© 12, Taastrup","Mon 16 April 2018, 7.30 pm.", 

Gilbert de Greeve.,"Fritidscentret Hedehuset, Hovedgaden 371, Hedehusene","Mon 16 April 2018, 7.30 pm.",(Entrance fee: 60-125 DKK.)

2 korte film fra audiovisuel antropologi v. Sebastian Lowe.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Mon 16 April 2018, 7.30 pm.",(Free admission)

Bachs fire orkestersuiter / Concerto Copenhagen.,"Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Tues 17 April 2018, 8 pm.",(Entrance fee: (EntrÃ©: DKK. 200/stud. med gyldigt Ã¥rskort DKK. 50))


Gengahr (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 17 April 2018, 8 pm.","(Entrance fee: 140,00 DKK)"

Onsdags-jazz pÃ¥ Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 18 April 2018, 6 pm.",(Free admission)

Koncert med Kim SjÃ¸gren.,"Hans Egedes Kirke, Vardegade 14, Copenhagen Ã˜","Wed 18 April 2018, 7.30 pm  - 9 pm.", 

Dansk Selskab For Russisk Musik.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Wed 18 April 2018, 8.00 pm  - 10.00 pm.",(Entrance fee: 100 DKK/ 70 DKK ved dÃ¸ren)

Node (dk).,"VEGA, Enghavevej 40, Copenhagen V","Wed 18 April 2018, 9 pm.","(Entrance fee: 165,00 DKK)"

Fra Elizabeth I til Elizabeth II - 400 Ã¥rs engelsk kirkemusik.,"Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Thur 19 April 2018, 7.30 pm.",(Entrance fee: 85 - 150 DKK)

Majken &amp; Fjeldtetten.,"Jonstruphus, Jonstrupvangvej 159, VÃ¦rlÃ¸se","Thur 19 April 2018, 7.30 pm.", 

Hush.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 19 April 2018, 8 pm.",(Entrance fee: 245 - 295 DKK)

"Billy Cross, Musikalsk talkshow.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Thur 19 April 2018, 8 pm.",(Entrance fee: 150 DKK)

The Selecter &amp; The Beat.,"VEGA, Enghavevej 40, Copenhagen V","Thur 19 April 2018, 8 pm.", 

Medina.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Fri 20 April 2018, 7 pm.","(Entrance fee: 1220,00 DKK)"

Luisi &amp; Bruckners 7.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 20 April 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

Cphphil Dvorak.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 20 April 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)

Sam Smith Udsolgt/venteliste.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Fri 20 April 2018, 8 pm.","(Entrance fee: 400,00 dkk - 700,00 dkk)"

C.v. JÃ¸rgensen - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Fri 20 April 2018, 8 pm.","(Entrance fee: 450,00 DKK)"

Route 66 - 60'er musik - Ingvar & Bandet.,"EllegÃ¥rden, Stavnsholtvej 168, Farum","Fri 20 April 2018, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)

Silvester.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 20 April 2018, 9 pm.",(Entrance fee: 150 DKK)

Satie med venner 2018 - 10-Ã¥rs jubilÃ¦umskoncert.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sat 21 April 2018, 3.00 pm  - 5.00 pm.",(Entrance fee: 150 DKK.)

Michael Learns To Rock.,"Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sat 21 April 2018, 8 pm.","(Entrance fee: 300,00 dkk - 500,00 dkk)"

Die Reeperbahn - Hyldest til Tom Waits.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sat 21 April 2018, 8 pm.",(Entrance fee: 125 DKK)


Thirty Seconds To Mars.,"TAP1, Raffinaderivej 10, Copenhagen S","Sat 21 April 2018, 8 pm.","(Entrance fee: 410,00 DKK)"

C.v. JÃ¸rgensen - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Sat 21 April 2018, 8 pm.",(Entrance fee)

The Van.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Sat 21 April 2018, 9 pm.",(Entrance fee: 149 DKK)

Mathilde Falch m Band.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 21 April 2018, 9 pm.",(Entrance fee: 140 DKK. + gebyr - 160 DKK i dÃ¸ren)

Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 22 April 2018, 12 am.",(Entrance fee: 50 DKK)

Schubert - Die schÃ¶ne MÃ¼llerin.,"Store Magleby Kirke, Kirkevej 2, DragÃ¸r","Sun 22 April 2018, 4 pm  - 5.30 pm.", 

Series of Four - DSQ+.,"Det Kongelige Danske Musikkonservatorium (DKDM), RosenÃ¸rns AllÃ© 22, Frederiksberg C","Sun 22 April 2018, 7.30 pm.",(Entrance fee: 120)

Niall Horan - Flicker World Tour 2018 - Udsolgt/venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Sun 22 April 2018, 8 pm.","(Entrance fee: 450,00 DKK)"

Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 23 April 2018, 10 am.",(Entrance fee: 50 DKK)

"Niels Hausgaard ""pÃ¥ Egen HÃ¥nd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Mon 23 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)

3 wienerklassiske koncerter - Mozart/Haydn. 7. koncert i Lyngby TaarbÃ¦k Musikforening.,"Stadsbiblioteket i Lyngby, Lyngby Hovedgade 28, Kongens Lyngby","Mon 23 April 2018, 8 pm.",(Entrance fee: 130 DKK.)

Scott Bradlee's Postmodern Jukebox (US).,"VEGA, Enghavevej 40, Copenhagen V","Mon 23 April 2018, 8 pm.","(Entrance fee: 395,00 DKK)"

Postmodern Jukebox Gold VIP Pakke.,"VEGA, Enghavevej 40, Copenhagen V","Mon 23 April 2018, 8.01 pm.",(Entrance fee)

Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 24 April 2018, 10 am.",(Entrance fee: 50 DKK)

"Niels Hausgaard ""pÃ¥ Egen HÃ¥nd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Tues 24 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)

Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 25 April 2018, 10 am.",(Entrance fee: 50 DKK)

Jeannet Ulrikkeholm.,"Glostrup Bibliotek, KildevÃ¦ldets AllÃ© 5, Glostrup","Wed 25 April 2018, 7 pm  - 9 pm.", 

"Niels Hausgaard ""pÃ¥ Egen HÃ¥nd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Wed 25 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)

Hanne Boel - Live 2018.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Wed 25 April 2018, 8 pm.",(Entrance fee)

Jacob Bellens (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 25 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"


Klumben og Raske Penge (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 25 April 2018, 9 pm.","(Entrance fee: 165,00 DKK)"

ForÃ¥rsfest.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg","Thur 26 April 2018, 7 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)

CPHPHIL Strauss og mestervÃ¦rkerne.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Thur 26 April 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)

"Niels Hausgaard ""pÃ¥ Egen HÃ¥nd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Thur 26 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)

Lauv.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Thur 26 April 2018, 8 pm.",(Entrance fee: 180 DKK)

Noah Carter (DK).,"VEGA, Enghavevej 40, Copenhagen V","Thur 26 April 2018, 8 pm.","(Entrance fee: 180,00 DKK)"

Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 27 April 2018, 6.30 pm.",(Entrance fee: 48 - 317 DKK)

"Niels Hausgaard ""pÃ¥ Egen HÃ¥nd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Fri 27 April 2018, 7 pm.",(Entrance fee: 295 - 360 DKK)

Ã˜stkyst Hustlers.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Fri 27 April 2018, 9 pm.","(Entrance fee: 195,00 DKK)"

Petri/Hannibal - instrumentalister i verdensklasse.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 28 April 2018, 2.30 pm  - 3.30 pm.", 

"Niels Hausgaard ""pÃ¥ Egen HÃ¥nd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Sat 28 April 2018, 7 pm.",(Entrance fee: 295 - 360 DKK)

Turboweekend (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 28 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"

Jacob Dinesen.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Sat 28 April 2018, 8 pm.",(Entrance fee: 350 DKK)

Jazz Menu - ForÃ¥r 2018.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sun 29 April 2018, 1 pm.",(Entrance fee: 110 DKK)

PalÃ¦ Bar Jazz.,"PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K","Sun 29 April 2018, 5 pm  - 8 pm.",(Free admission)

Wiener Filharmonikerne.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 29 April 2018, 7.30 pm.",(Entrance fee: 248 - 992 DKK)

Asaf Avidan (IL).,"VEGA, Enghavevej 40, Copenhagen V","Sun 29 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"

Claudiuskorets forÃ¥rskoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Mon 30 April 2018, 7.30 pm  - 9 pm.", 

Farinelli vs. Senesino / Concerto Copenhagen.,"Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Mon 30 April 2018, 8 pm.",(Entrance fee: (EntrÃ©: DKK. 200/stud. med gyldigt Ã¥rskort DKK. 50))

Chris Minh Doky.,"VEGA, Enghavevej 40, Copenhagen V","Mon 30 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"


Arrangement.,"Sankt Stefans Kirke, NÃ¸rrebrogade 191, Copenhagen N","Tues 1 May 2018, 11 am  - 2 pm.", 

1. maj med farverige strygekvartetter.,"Unitarernes Hus, Dag HammarskjÃ¶lds AllÃ© 30, Copenhagen Ã˜","Tues 1 May 2018, 7.30 pm.",(Entrance fee: 90 - 150 DKK)

Trio con Brio &amp; DiamantEnsemblet.,"Det Kongelige Bibliotek/Den Sorte Diamant, SÃ¸ren Kierkegaards Plads 1, Copenhagen K","Tues 1 May 2018, 8 pm.",(Entrance fee: 150 - 210 DKK)

Machine Head (US) - Catharsis World Tour 2018.,"VEGA, Enghavevej 40, Copenhagen V","Tues 1 May 2018, 8 pm.","(Entrance fee: 350,00 DKK)"

Jam-session pÃ¥ Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 2 May 2018, 6 pm.",(Free admission)

Mirja Klippel (50/50 koncert).,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Wed 2 May 2018, 7.30 pm.",(Entrance fee: 55 DKK)

Dreamers' Circus.,"Baltoppen Live, Baltorpvej 20, Ballerup","Thur 3 May 2018, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)

Shame (uk).,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Thur 3 May 2018, 9 pm.", 

Anne Linnet.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Fri 4 May 2018, 7 pm.","(Entrance fee: 1020,00 DKK)"

RubberBand - 110% Beatles.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Fri 4 May 2018, 8 pm.","(Entrance fee: 130,00 DKK)"

B l a s t !!!,"EllegÃ¥rden, Stavnsholtvej 168, Farum","Fri 4 May 2018, 9 pm.","(Entrance fee: entre billet 260 DKK, entre + jazzmenu, balkon 410 DKK, entre + jazzmenu 410 DKK)"

Social Club.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 4 May 2018, 9 pm.",(Entrance fee: 150 DKK. + bebyr / dÃ¸r 170)

Incognito.,"Docken KÃ¸benhavn, Nordhavnen, FÃ¦rgehavnsvej 35, Nordhavn","Sat 5 May 2018, 6.30 pm.",(Entrance fee)

Moonjam.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Sat 5 May 2018, 7 pm.","(Entrance fee: 620,00 dkk - 820,00 dkk)"

Niels Skousen (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 5 May 2018, 8 pm.","(Entrance fee: 190,00 DKK)"

I'm With Her (US).,"Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N","Sat 5 May 2018, 9 pm.",(Entrance fee: 150 DKK)

Ought live pÃ¥ Loppen.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Sat 5 May 2018, 9 pm.",(Entrance fee: 140 DKK)

Himmerland feat. Mairi Campbell.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 8 May 2018, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)

Eden.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Wed 9 May 2018, 9 pm.","(Entrance fee: 210,00 DKK)"

Collon &amp; Mahlers 10.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 10 May 2018, 7.30 pm.",(Entrance fee: 73 - 500 DKK)


Die Herren.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 11 May 2018, 8 pm.",(Entrance fee: 205 DKK + evt. gebyr)

Lilly Hiatt (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 12 May 2018, 8 pm.","(Entrance fee: 135,00 DKK)"

Fil Bo Riva (it).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sun 13 May 2018, 8 pm.","(Entrance fee: 105,00 DKK)"

The Almost Family Choir.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Tues 15 May 2018, 7.30 pm.",(Free admission)

Onsdags-jazz pÃ¥ Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 16 May 2018, 6 pm.",(Free admission)

OlÃ¶f Arnalds & Skuli Sverrisson (IS).,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Wed 16 May 2018, 8 pm.","(Entrance fee: 110,00 DKK)"

